Category ID	Category Name	Description	Parent ID	Parent Name	Default Location ID	Keywords	Category Path	Parts	structural
709	Encoders, Decoders, Converters		2016	Interface	1		Integrated Circuits (ICs)/Interface/Encoders, Decoders, Converters	0	0
735	Filters - Active		2016	Interface	1		Integrated Circuits (ICs)/Interface/Filters - Active	0	0
749	I/O Expanders		2016	Interface	1		Integrated Circuits (ICs)/Interface/I/O Expanders	0	0
722	Modems - ICs and Modules		2016	Interface	1		Integrated Circuits (ICs)/Interface/Modems - ICs and Modules	0	0
778	Modules		2016	Interface	1		Integrated Circuits (ICs)/Interface/Modules	0	0
752	Sensor and Detector Interfaces		2016	Interface	1		Integrated Circuits (ICs)/Interface/Sensor and Detector Interfaces	0	0
560	Sensor, Capacitive Touch		2016	Interface	1		Integrated Circuits (ICs)/Interface/Sensor, Capacitive Touch	0	0
755	Serializers, Deserializers		2016	Interface	1		Integrated Circuits (ICs)/Interface/Serializers, Deserializers	0	0
756	Signal Buffers, Repeaters, Splitters		2016	Interface	1		Integrated Circuits (ICs)/Interface/Signal Buffers, Repeaters, Splitters	0	0
683	Signal Terminators		2016	Interface	1		Integrated Circuits (ICs)/Interface/Signal Terminators	0	0
754	Specialized		2016	Interface	1		Integrated Circuits (ICs)/Interface/Specialized	0	0
702	Telecom		2016	Interface	1		Integrated Circuits (ICs)/Interface/Telecom	0	0
714	UARTs (Universal Asynchronous Receiver Transmitter)		2016	Interface	1		Integrated Circuits (ICs)/Interface/UARTs (Universal Asynchronous Receiver Transmitter)	0	0
733	Voice Record and Playback		2016	Interface	1		Integrated Circuits (ICs)/Interface/Voice Record and Playback	0	0
2018	Linear		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Linear	0	0
2034	Amplifiers		2018	Linear	1		Integrated Circuits (ICs)/Linear/Amplifiers	0	0
742	Audio Amplifiers		2034	Amplifiers	1		Integrated Circuits (ICs)/Linear/Amplifiers/Audio Amplifiers	0	0
687	Instrumentation, OP Amps, Buffer Amps		2034	Amplifiers	1		Integrated Circuits (ICs)/Linear/Amplifiers/Instrumentation, OP Amps, Buffer Amps	0	0
771	Special Purpose Amplifiers		2034	Amplifiers	1		Integrated Circuits (ICs)/Linear/Amplifiers/Special Purpose Amplifiers	0	0
737	Video Amps and Modules		2034	Amplifiers	1		Integrated Circuits (ICs)/Linear/Amplifiers/Video Amps and Modules	0	0
772	Analog Multipliers, Dividers		2018	Linear	1		Integrated Circuits (ICs)/Linear/Analog Multipliers, Dividers	0	0
692	Comparators		2018	Linear	1		Integrated Circuits (ICs)/Linear/Comparators	0	0
684	Video Processing		2018	Linear	1		Integrated Circuits (ICs)/Linear/Video Processing	0	0
2019	Logic		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Logic	0	0
704	Buffers, Drivers, Receivers, Transceivers		2019	Logic	1		Integrated Circuits (ICs)/Logic/Buffers, Drivers, Receivers, Transceivers	0	0
773	Comparators		2019	Logic	1		Integrated Circuits (ICs)/Logic/Comparators	0	0
731	Counters, Dividers		2019	Logic	1		Integrated Circuits (ICs)/Logic/Counters, Dividers	0	0
707	FIFOs Memory		2019	Logic	1		Integrated Circuits (ICs)/Logic/FIFOs Memory	0	0
706	Flip Flops		2019	Logic	1		Integrated Circuits (ICs)/Logic/Flip Flops	0	0
705	Gates and Inverters		2019	Logic	1		Integrated Circuits (ICs)/Logic/Gates and Inverters	0	0
770	Gates and Inverters - Multi-Function, Configurable		2019	Logic	1		Integrated Circuits (ICs)/Logic/Gates and Inverters - Multi-Function, Configurable	0	0
708	Latches		2019	Logic	1		Integrated Circuits (ICs)/Logic/Latches	0	0
711	Multivibrators		2019	Logic	1		Integrated Circuits (ICs)/Logic/Multivibrators	0	0
720	Parity Generators and Checkers		2019	Logic	1		Integrated Circuits (ICs)/Logic/Parity Generators and Checkers	0	0
712	Shift Registers		2019	Logic	1		Integrated Circuits (ICs)/Logic/Shift Registers	0	0
743	Signal Switches, Multiplexers, Decoders		2019	Logic	1		Integrated Circuits (ICs)/Logic/Signal Switches, Multiplexers, Decoders	0	0
703	Specialty Logic		2019	Logic	1		Integrated Circuits (ICs)/Logic/Specialty Logic	0	0
732	Translators, Level Shifters		2019	Logic	1		Integrated Circuits (ICs)/Logic/Translators, Level Shifters	0	0
725	Universal Bus Functions		2019	Logic	1		Integrated Circuits (ICs)/Logic/Universal Bus Functions	0	0
2020	Memory		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Memory	0	0
766	Batteries		2020	Memory	1		Integrated Circuits (ICs)/Memory/Batteries	0	0
697	Configuration PROMs for FPGAs		2020	Memory	1		Integrated Circuits (ICs)/Memory/Configuration PROMs for FPGAs	0	0
736	Controllers		2020	Memory	1		Integrated Circuits (ICs)/Memory/Controllers	0	0
774	Memory		2020	Memory	1		Integrated Circuits (ICs)/Memory/Memory	0	0
2025	Power Management (PMIC)		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Power Management (PMIC)	0	0
748	AC DC Converters, Offline Switches		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/AC DC Converters, Offline Switches	0	0
781	Battery Chargers		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Battery Chargers	0	0
713	Battery Management		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Battery Management	0	0
734	Current Regulation/Management		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Current Regulation/Management	0	0
715	DC DC Switching Controllers		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/DC DC Switching Controllers	0	0
729	Display Drivers		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Display Drivers	0	0
765	Energy Metering		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Energy Metering	0	0
746	Full Half-Bridge (H Bridge) Drivers		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Full Half-Bridge (H Bridge) Drivers	0	0
730	Gate Drivers		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Gate Drivers	0	0
718	Hot Swap Controllers		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Hot Swap Controllers	0	0
681	Laser Drivers		2025	Power Management (PMIC)	1		Integrated Circuits (ICs)/Power Management (PMIC)/Laser Drivers	0	0
